
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2024-10-25 21:29:43 /assets/css/style.css ................................................................ ~ 5.69ms
  2024-10-25 21:29:43 /assets/img/au_logo.jpg .............................................................. ~ 0.77ms
  2024-10-25 21:29:43 /assets/img/profile-img.jpg .......................................................... ~ 0.51ms
  2024-10-25 21:29:43 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 0.59ms
  2024-10-25 21:29:43 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 2.60ms
  2024-10-25 21:29:43 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 0.47ms
  2024-10-25 21:29:43 /assets/vendor/echarts/echarts.min.js ................................................ ~ 3.78ms
  2024-10-25 21:29:43 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 6.74ms
  2024-10-25 21:29:43 /assets/vendor/quill/quill.js ........................................................ ~ 5.68ms
  2024-10-25 21:29:43 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 0.45ms
  2024-10-25 21:29:43 /assets/vendor/php-email-form/validate.js ............................................ ~ 0.53ms
  2024-10-25 21:29:43 /assets/js/main.js ................................................................... ~ 2.36ms
  2024-10-25 21:29:43 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.43ms
  2024-10-25 21:29:43 /assets/img/logo.png ................................................................. ~ 1.07ms
  2024-10-25 21:29:45 /buy-admission/2 ......................................................................... ~ 3s
  2024-10-25 21:29:45 /buy-admission/2 ........................................................................ ~ 16s
  2024-10-25 21:30:02 /buy-admission/2 ........................................................................ ~ 43s
  2024-10-25 21:30:45 ....................................................................................... ~ 1m 7s
  2024-10-25 21:31:51 /assets/img/logo.png ................................................................. ~ 0.47ms
  2024-10-25 21:31:51 /buy-admission/list ...................................................................... ~ 1s
  2024-10-25 21:31:53 /assets/vendor/bootstrap/css/bootstrap.min.css ..................................... ~ 501.76ms
  2024-10-25 21:31:54 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 3.33ms
  2024-10-25 21:31:54 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 5.31ms
  2024-10-25 21:31:54 /assets/vendor/quill/quill.snow.css .................................................. ~ 7.36ms
  2024-10-25 21:31:54 /assets/vendor/quill/quill.bubble.css ................................................ ~ 9.65ms
  2024-10-25 21:31:54 /assets/vendor/remixicon/remixicon.css .............................................. ~ 11.47ms
  2024-10-25 21:31:54 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.47ms
  2024-10-25 21:31:54 /assets/css/style.css ................................................................ ~ 2.61ms
  2024-10-25 21:31:54 /assets/img/au_logo.jpg .............................................................. ~ 0.62ms
  2024-10-25 21:31:54 /assets/img/profile-img.jpg .......................................................... ~ 3.13ms
  2024-10-25 21:31:54 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 4.96ms
  2024-10-25 21:31:54 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 6.59ms
  2024-10-25 21:31:54 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 0.36ms
  2024-10-25 21:31:54 /assets/vendor/echarts/echarts.min.js ................................................ ~ 0.33ms
  2024-10-25 21:31:54 /assets/vendor/quill/quill.js ........................................................ ~ 0.42ms
  2024-10-25 21:31:54 /assets/vendor/simple-datatables/simple-datatables.js ............................... ~ 89.59ms
